0.40 --> 1.48:  ah, ayo
128.26 --> 130.86:  oh hujan mah tuh kudigih sebor anjing, gening
130.86 --> 133.86:  nah habis mah tapi kududu sebor
133.86 --> 139.10:  lila anjing berkebun tuh
139.10 --> 147.01:  serem gitu anjing, dimana dia anjing?
147.01 --> 149.01:  kena kuaca anjing
149.01 --> 154.95:  dia di depan itu
154.95 --> 158.95:  bahasa itu masih rojerna jadi tumbal proyeknya gendem
158.95 --> 164.55:  iya, anjing didituh, anjing didituh di bawah ima
164.55 --> 171.32:  jadi ayam panggang anjing
171.32 --> 173.32:  ayo tanda didituh kemana?
174.32 --> 176.32:  emang ga ya tanda didituh?
176.32 --> 178.32:  ayo kan tanda
178.32 --> 180.32:  wadih destroy anjing
180.32 --> 182.32:  wadih tanda
182.32 --> 198.59:  oh anjing
198.59 --> 201.59:  bring the wild meat to the hunters hut
201.59 --> 204.59:  isi rojertan diberi darah anjing mau darah?
204.59 --> 208.32:  mau darah anjing?
208.32 --> 209.32:  mau dia anjing
209.32 --> 211.32:  oh telor telor dia telor
211.32 --> 213.32:  aduh popos
213.32 --> 215.32:  aduh anjing ada garung anjing
215.32 --> 217.32:  popos anjing
217.32 --> 218.32:  salah anjing
218.32 --> 219.32:  andau kan anjing
219.32 --> 221.32:  andau kan anjing
221.32 --> 223.32:  ngusih abus kencan
223.32 --> 225.32:  itu si ardenya kalo andau ngelucu anjing
225.32 --> 226.32:  udah udah
226.32 --> 229.32:  tapi popos anjing iya ampur anjing
229.32 --> 231.32:  anjing ngelengit rojertan
231.32 --> 233.32:  jadi dia paraban
233.32 --> 239.19:  oh iya paraban paraban
239.19 --> 241.19:  sebenernya ini daerah kayu sih
241.19 --> 243.19:  oba ken ya daerah
245.19 --> 246.19:  oh iya dia telor ya
246.19 --> 252.02:  oh lo baing andau kan anjing orang jual
252.02 --> 253.02:  oh iya
253.02 --> 255.02:  iya dia telor
256.02 --> 261.18:  asupkan asupkan
261.18 --> 262.18:  jangan deh jangan deh
262.18 --> 264.18:  kawin anjing sahai dua anjing
264.18 --> 267.18:  si omoh anjing yakin dah
268.18 --> 270.18:  pake ku si omoh anjing
270.18 --> 272.18:  cicing cicing bt
272.18 --> 273.18:  asli anjing
273.18 --> 274.18:  dipake anjing
274.18 --> 276.18:  lain ikan kayu anjing
276.18 --> 277.18:  baru resign
277.18 --> 279.18:  asupkan anjing
279.18 --> 284.45:  cicing cicing jauh ngendogan anjing
284.45 --> 286.45:  ketis anjing emang
286.45 --> 287.45:  berd
287.45 --> 292.10:  bestialer iya anjing
292.10 --> 304.13:  ketis anjing te unggas murnana
304.13 --> 306.13:  bener asap unggas
306.13 --> 313.34:  asap unggas
313.34 --> 316.75:  garila
316.75 --> 322.66:  bener merti ben
344.02 --> 346.02:  oh no biatnya can beres anjing
348.02 --> 351.53:  oh no can beres
351.53 --> 358.38:  iya
358.38 --> 360.38:  iu kandang sapi boy
360.38 --> 364.42:  eh salah
364.42 --> 365.42:  kalem kalem
365.42 --> 368.86:  bangun dulu
368.86 --> 370.86:  ada tiga section anjing ada middle
370.86 --> 375.30:  bangun dulu bangun dulu
375.30 --> 377.30:  nah
377.30 --> 379.30:  sama barn barn
379.30 --> 381.30:  front
381.30 --> 382.30:  nah
382.30 --> 386.76:  kandang sapi
386.76 --> 390.87:  wood planknya 19
390.87 --> 392.87:  kayu guys
392.87 --> 397.24:  mana kayu nang kayu nang
397.24 --> 403.40:  iya mereka bangun anjing
403.40 --> 417.91:  mesin pemotong kayu nang mana iya
417.91 --> 419.91:  kurang pindah kita tukang
420.91 --> 425.29:  jadi ini kayu nang lho bang
425.29 --> 427.29:  jadi jangan mati mati anjing iya
428.29 --> 430.29:  anjing goreng gitu
430.29 --> 432.29:  iya kan orang anjing
432.29 --> 437.04:  tanos sih badan
437.04 --> 439.04:  iya mah mesin kayu mana dia dong
439.04 --> 442.29:  eh mesin potong hala kayu ini
442.29 --> 458.24:  pokoknya ada 8
458.24 --> 459.24:  mesin anjing
459.24 --> 482.70:  eh
482.70 --> 483.70:  jual anjing
483.70 --> 484.70:  jual anjing
484.70 --> 490.73:  anjing nang anjing
490.73 --> 492.73:  anjing nang anjing jual anjing
492.73 --> 494.73:  ente kita jangan bangun kandang sapi
494.73 --> 499.42:  kandang sapi nggak sebogang kita sapi nggak tebogang
501.42 --> 502.42:  asal
502.42 --> 504.42:  kandang nahul lah weh
512.83 --> 527.86:  tunggu di parah apaan mesin
527.86 --> 609.83:  asli mah anjing mesin potongan
609.83 --> 611.83:  kurung bogat 12
680.61 --> 682.61:  siap bunang anjing
682.61 --> 683.61:  wah
683.61 --> 709.92:  betih nang
709.92 --> 711.92:  kemana si harli
711.92 --> 712.92:  iya iya
712.92 --> 719.53:  apa bangun anjing
719.53 --> 721.53:  anjing mati kandang parah mah
721.53 --> 724.53:  iya itu manusia ungu sedang menatap dari kejauhan
725.53 --> 727.53:  kurus tumbuh kurang
727.53 --> 728.53:  tuh anjing
728.53 --> 729.53:  paranjang jangan mengontrol
729.53 --> 730.53:  eh
730.53 --> 731.53:  bahaya
731.53 --> 732.53:  wah
732.53 --> 733.53:  hehehehe
733.53 --> 746.70:  asli kekosongan
798.13 --> 799.13:  jara oke ya
799.13 --> 810.56:  katir
810.56 --> 811.56:  oke si omong
811.56 --> 813.56:  awak begang
813.56 --> 815.56:  diangkutan awi berada
815.56 --> 821.53:  awak dengan awi berdagan kena awi
822.53 --> 833.84:  hmm jadi eh kandang sapi
834.84 --> 835.84:  sapi anjing aku mah anjing
835.84 --> 837.84:  kebogang sapi anjing
837.84 --> 840.66:  hehehe
840.66 --> 842.66:  eh kandang nahul lah weh
842.66 --> 844.66:  kanifestasi gitu
844.66 --> 846.66:  juga melikasin pisih gelang
846.66 --> 847.66:  pisih na
847.66 --> 856.67:  yang mau anjing kayu ke
856.67 --> 858.67:  di tinggal di jauh mah
859.67 --> 861.67:  si ga iya anjing si ga koncite
861.67 --> 863.67:  si koncite
863.67 --> 877.38:  mah asli ikunya
877.38 --> 906.81:  eh mau beli di paket tuh
906.81 --> 907.81:  apa?
907.81 --> 908.81:  siapa?
908.81 --> 918.96:  beli semendam
919.96 --> 921.96:  oh kuda beli semendang metal ya
921.96 --> 922.96:  hmm
922.96 --> 925.43:  ah dagang kondi
925.43 --> 926.43:  kayu
927.43 --> 929.43:  oh kusanda shit
931.43 --> 932.43:  alhamdulillah
933.43 --> 934.43:  butuh sebera hal oba
934.43 --> 935.43:  itu tuh
936.43 --> 937.43:  nooo
937.43 --> 938.43:  kudribangun tuh
939.43 --> 940.43:  oba pisang
940.43 --> 943.61:  eh
943.61 --> 950.21:  kan tumbuh ya tadi
951.21 --> 952.21:  tanaman ayi
952.21 --> 955.29:  nanti ben
956.29 --> 958.29:  siapa aja achan
958.29 --> 968.02:  hehehe
968.02 --> 969.02:  kuda beli fertilizer dan
970.02 --> 971.02:  beli doi
972.02 --> 977.86:  beli doi
977.86 --> 978.86:  orang gespuga sapi mah ini
978.86 --> 979.86:  sama cicin
979.86 --> 981.86:  pake pupuk si roger weh lah
982.86 --> 1005.02:  eh kuda boga alat nan ya
1005.02 --> 1007.02:  beli mobilnya siapa rahasih?
1007.02 --> 1009.02:  oh oh beli mobil doi janteng
1009.02 --> 1010.02:  kayak lah
1010.02 --> 1011.02:  alhamdulillah ini
1011.02 --> 1012.02:  mobil nukium
1029.62 --> 1031.62:  ya misi mah beres dapet dia tuh
1031.62 --> 1035.64:  dapet duit tuh
1035.64 --> 1037.64:  tapi tadi beri daging kuman
1037.64 --> 1041.94:  jualah
1041.94 --> 1042.94:  oh oh ini jadi duit doi
1049.86 --> 1077.93:  ahhh
1077.93 --> 1078.93:  ajiin sekarang di cekal
1121.91 --> 1122.91:  gosipin doi
1123.91 --> 1124.91:  lor doi bisa tuh sih
1130.65 --> 1131.65:  oh masih bisa
1132.65 --> 1133.65:  mawa doi
1134.65 --> 1135.65:  abehkan weh
1142.86 --> 1143.86:  kainnya deket mana nolobak
1144.86 --> 1145.86:  pindahkan doi
1145.86 --> 1150.60:  oba
1150.60 --> 1151.60:  etak
1151.60 --> 1152.60:  kagok nua etak
1152.60 --> 1153.60:  dam
1153.60 --> 1154.60:  cokok-cokokin nu
1154.60 --> 1155.60:  didihnya dam
1156.60 --> 1159.97:  ha?
1159.97 --> 1160.97:  nolobanan dimana?
1160.97 --> 1161.97:  belah dituh
1161.97 --> 1162.97:  belah dituh
1162.97 --> 1164.97:  oh dia mau ngasih di cek dia gak?
1164.97 --> 1165.97:  oh oh
1165.97 --> 1187.90:  taro lah di handapnya mau?
1187.90 --> 1191.15:  bisa gitu duit duit
1192.15 --> 1193.15:  entah di handapnya lah
1193.15 --> 1195.15:  simpen entar kurang susun
1195.15 --> 1196.15:  masih bisa ya
1196.15 --> 1197.15:  tadi mah
1197.15 --> 1198.15:  baru naik tapi
1257.46 --> 1258.46:  mana sih gababe-gabe
1258.46 --> 1260.46:  nu di monster university ini dong
1262.46 --> 1263.46:  mana deh ini
1264.46 --> 1265.46:  monster university ini mana
1265.46 --> 1266.46:  ini
1267.46 --> 1268.46:  ayah
1271.18 --> 1285.15:  tim namanya quazowski
1286.15 --> 1310.32:  si ada deh keranaon deh
1314.74 --> 1317.60:  deh
1317.60 --> 1318.60:  ke remantangan iurang
1319.60 --> 1320.60:  bunuh orang
1320.60 --> 1328.77:  remantangan
1329.77 --> 1330.77:  ke remantangan ke bunuh aneh
1338.23 --> 1339.23:  jadinya namun
1339.23 --> 1340.23:  tumbuh
1340.23 --> 1341.23:  tumbuh daun weh hiji
1342.23 --> 1343.23:  langsung laporan gitu
1343.23 --> 1344.23:  ben
1345.23 --> 1346.23:  tumbuh hiji daun
1346.23 --> 1347.23:  gitu
1348.23 --> 1349.23:  apaan sih ayo
1352.23 --> 1361.74:  kadi dulu
1361.74 --> 1362.74:  udah mana ges ngabadagan
1403.33 --> 1404.33:  tiga pahaji sih
1404.33 --> 1405.33:  ada banyak
1406.33 --> 1411.58:  oh pahaji kayu
1413.58 --> 1414.58:  tuh
1414.58 --> 1415.58:  pahaji kusen
1415.58 --> 1416.58:  pahaji kusen
1417.58 --> 1418.58:  bukan kusen
1418.58 --> 1419.58:  ini mebal
1419.58 --> 1434.61:  over load gitu mobilnya
1436.61 --> 1437.61:  sih bisa aja
1458.84 --> 1459.84:  pahaji pahaji
1461.84 --> 1462.84:  abis nombor sempanto
1462.84 --> 1464.84:  taca dong kap ke bumi
1464.84 --> 1470.45:  mau ngenaun mana?
1475.35 --> 1476.35:  dicarekan
1478.35 --> 1479.35:  sarap aneh
1479.35 --> 1480.35:  pada dagangnya
1480.35 --> 1481.35:  tidak bertanggung jawab
1482.35 --> 1511.83:  ngelopo pisah
1511.83 --> 1512.83:  ini
1512.83 --> 1528.55:  dijuru
1528.55 --> 1529.55:  ngangkut kayu
1529.55 --> 1530.55:  beri ajil
1530.55 --> 1531.55:  gini
1531.55 --> 1532.55:  buatan
1537.52 --> 1538.52:  yang sih gak kaya
1542.53 --> 1543.53:  gak capek
1543.53 --> 1544.53:  berat
1544.53 --> 1545.53:  sama alien
1583.94 --> 1584.94:  nge-tumbuh ben
1584.94 --> 1588.24:  tomat
1588.24 --> 1589.24:  pop-up
1589.24 --> 1590.24:  pop-up
1590.24 --> 1591.24:  kayaknya diaing soalnya
1591.24 --> 1596.21:  oh iya
1596.21 --> 1597.21:  ada yang dagang kan
1608.38 --> 1613.35:  yes
1613.35 --> 1614.35:  nge-spino
1614.35 --> 1615.35:  saki hongkul di sana
1615.35 --> 1619.90:  ini tomat ya
1619.90 --> 1625.70:  oh 4sat
1625.70 --> 1631.34:  mobilnya gak spino
1632.34 --> 1636.06:  kenapa?
1637.06 --> 1638.06:  tunduh sih
1638.06 --> 1639.06:  oh
1639.06 --> 1640.06:  Ardhima tunduh
1642.06 --> 1643.06:  biasaan
1643.06 --> 1660.96:  fest aja
1661.96 --> 1662.96:  ada fest
1663.96 --> 1664.96:  spino tapi ben
1664.96 --> 1665.96:  taro bisa-bisa sih ke atas
1666.96 --> 1667.96:  pasti bisa
1668.96 --> 1670.96:  nanti mau kayu manta bisa ya
1670.96 --> 1692.31:  oper-oper-oper
1693.31 --> 1694.31:  kuma oper-oper
1694.31 --> 1695.31:  taro di handap
1695.31 --> 1696.31:  taro di handap
1696.31 --> 1706.21:  itu kedua-duanya
1706.21 --> 1709.99:  oper dia mau
1710.99 --> 1711.99:  taro dia handap
1711.99 --> 1736.36:  pokoknya ada strawberry
1736.36 --> 1743.13:  pokoknya ada strawberry
1743.13 --> 1745.13:  tapi enak tomat
1745.13 --> 1746.13:  kok mau ngasih
1746.13 --> 1747.13:  ayo-ayo jualan-jualan
1747.13 --> 1748.13:  ayo-ayo jualan
1748.13 --> 1749.13:  eh tetep hiji-hiji ketinggalan
1749.13 --> 1750.13:  hiji ketinggalan
1751.13 --> 1752.13:  milu-milu
1752.13 --> 1757.19:  ayo milu
1757.19 --> 1761.58:  eh ketinggalan lagi
1763.58 --> 1764.58:  ayo deh
1764.58 --> 1766.96:  milu mali
1768.96 --> 1771.69:  kita ke
1772.69 --> 1773.69:  beli itu ke general ya
1773.69 --> 1783.27:  pake kosky
1783.27 --> 1784.27:  panen ayo
1784.27 --> 1785.27:  panen boss
1787.27 --> 1788.27:  ayo ngomong
1788.27 --> 1791.27:  trying hard to make memories
1791.27 --> 1793.27:  ayo ngasih ke kumaha
1793.27 --> 1795.27:  panen ayo panen ayo
1795.27 --> 1799.28:  ayo juga
1800.28 --> 1801.28:  ayo deh ayo
1804.59 --> 1805.59:  ayo tahan-tahan free gitu
1805.59 --> 1806.59:  tahan free
1806.59 --> 1807.59:  tahan free
1808.59 --> 1809.59:  ayo jadi
1810.59 --> 1812.59:  ayo bisa anjing
1818.14 --> 1820.14:  kita harus ngirim benget money di WA
1820.14 --> 1824.54:  bisa ngomong pesan-pesan jenggut money
1824.54 --> 1830.31:  bahaya ambil balikannya
1830.31 --> 1831.31:  benten
1831.31 --> 1833.31:  wah anjir lho
1833.31 --> 1835.31:  400 lebih orang dapet
1835.31 --> 1837.31:  anjai mantap
1837.31 --> 1839.31:  800 duit orang
1839.31 --> 1840.31:  beli sapi
1840.31 --> 1843.78:  mau makan banget sapi
1843.78 --> 1844.78:  beli sapi boss
1853.38 --> 1854.38:  beli sapi yang murah ya
1854.38 --> 1855.38:  dairy cow nya
1856.38 --> 1857.38:  beef cow
1857.38 --> 1859.38:  beli fertilizer tuh
1860.38 --> 1862.38:  oh dairy cow mah yang susunya
1865.73 --> 1866.73:  rek susu rek
1866.73 --> 1867.73:  sapi perah
1867.73 --> 1869.73:  sapi perah atau sapi iya
1869.73 --> 1870.73:  dagingnya
1870.73 --> 1871.73:  ah di payah neng
1871.73 --> 1872.73:  sapi perah mana
1873.73 --> 1875.73:  sapi perah jangan
1875.73 --> 1876.73:  milk can
1879.58 --> 1880.58:  cukup tanya
1881.58 --> 1882.58:  yang wheat
1882.58 --> 1883.58:  cukup eh
1883.58 --> 1884.58:  beli ya
1885.58 --> 1887.83:  beli-beli
1887.83 --> 1889.83:  tinggal-tinggal sapi nya diharap-diharap
1889.83 --> 1890.83:  tinggal
1890.83 --> 1892.83:  oh iya sapi nya kuma ngangkut anjir
1893.83 --> 1894.83:  kabur-kabur-kabur
1894.83 --> 1895.83:  eh kalem-kalem ya kuayin
1895.83 --> 1896.83:  kuayin di cekalan ya
1896.83 --> 1897.83:  mau ketali boss
1898.83 --> 1899.83:  korban
1900.83 --> 1907.08:  eh tetap men men men
1907.08 --> 1908.08:  kabur men
1908.08 --> 1910.08:  gak bisa naik mobil ini anjir
1911.08 --> 1912.08:  eke lah iya gak punggung segala
1914.08 --> 1915.08:  wah anjir
1915.08 --> 1916.08:  ahang
1916.08 --> 1917.08:  kemarin naik di tukang gue ya
1919.08 --> 1920.08:  bisa gitu yuk
1920.08 --> 1922.08:  eh milk can nya harus dibawa chan
1922.08 --> 1924.08:  achan achan bawa bawa
1925.08 --> 1926.08:  milk can nya dimana
1926.08 --> 1928.58:  iya iya iya
1929.58 --> 1930.58:  oh iya
1931.58 --> 1932.58:  ayo deh ayo
1934.93 --> 1935.93:  cekalan ya sapi nya
1935.93 --> 1936.93:  gue yang di cekalan ya
1936.93 --> 1937.93:  talian gue yang gitu
1937.93 --> 1938.93:  anjir
1938.93 --> 1939.93:  eh bukan
1939.93 --> 1940.93:  putus putus
1940.93 --> 1941.93:  putus
1941.93 --> 1942.93:  putus anjir
1942.93 --> 1943.93:  kabur gak anjir
1945.93 --> 1946.93:  kabur-kabur-kabur
1948.93 --> 1949.93:  ada kagelnya gak anjir
1949.93 --> 1950.93:  rumpat aja gak anjir-gak anjir
1955.22 --> 1956.22:  lepas lagi dong
1956.22 --> 1961.35:  ngangkut sapi
1961.35 --> 1962.35:  aku udah pakai tecna tuh
1965.95 --> 1966.95:  ah talian di talian di
1966.95 --> 1968.95:  anjir ini rada linghas anjir
1969.95 --> 1970.95:  maksudnya anjir ini bahaya
1970.95 --> 1971.95:  anjir
1971.95 --> 1975.35:  iya anjir
1975.35 --> 1976.35:  maler tecna
1977.35 --> 1978.35:  anjir
1978.35 --> 1979.35:  pocah-pocah-pocah
1979.35 --> 1980.35:  anjir
1980.35 --> 1981.35:  anjir
1981.35 --> 1982.35:  kok belum
1982.35 --> 1983.35:  tembak laku aja gak anjir
1990.39 --> 1991.39:  eh mali pupuknya
1991.39 --> 1992.39:  eh dimana
1993.39 --> 1994.39:  anjir tak cukup
1994.39 --> 1995.39:  dina ben
1997.39 --> 1998.39:  gue dengerin harves oke tuh
2003.23 --> 2008.65:  iya mok
2008.65 --> 2009.65:  iya mok
2010.65 --> 2011.65:  oh kemarin gue yang nyetir
2011.65 --> 2014.76:  oh masih
2014.76 --> 2017.71:  anjing-anjing
2017.71 --> 2024.67:  anjing tuh bisa naik kanan sapi gitu
2027.67 --> 2028.67:  oh jadi makan di sini ya
2029.67 --> 2030.67:  oh gak
2030.67 --> 2031.67:  gak ya
2031.67 --> 2032.67:  gak-gak
2032.67 --> 2033.67:  gue suka kasih makan gak sih
2033.67 --> 2034.67:  bisa-bisa
2034.67 --> 2035.67:  si anjing ini
2036.67 --> 2037.67:  si anjing
2039.67 --> 2040.67:  anjing copot
2041.67 --> 2045.39:  dimana ini
2045.39 --> 2046.39:  oh kandang-kandang
2046.39 --> 2047.39:  kandang-kandang
2049.39 --> 2051.39:  aduh lo poho beli metal nih
2051.39 --> 2053.39:  gitu yang ada yang beli metal yang konkret
2053.39 --> 2054.39:  beli sapi
2054.39 --> 2055.39:  anjir
2055.39 --> 2056.39:  beli di dia si anjing na
2059.28 --> 2060.28:  beli di dia
2060.28 --> 2061.28:  itu bisa
2062.28 --> 2064.62:  sini anjing
2064.62 --> 2065.62:  sini anjing
2070.35 --> 2071.35:  anjing yang nurut
2073.89 --> 2074.89:  anjing na na berak-berak tinggi
2075.89 --> 2085.44:  rasa dalam tusan sapi na
2085.44 --> 2086.44:  oh
2086.44 --> 2087.44:  beda
2089.44 --> 2090.44:  atak-atak kabur anjir
2090.44 --> 2091.44:  kemana anjir ke dia
2092.44 --> 2094.44:  tuh pantuan eh
2095.44 --> 2096.44:  ruang upan tuh
2097.44 --> 2099.44:  kencang kena gitu
2100.44 --> 2101.44:  bayar lah
2101.44 --> 2103.85:  alangan-alangan di
2104.85 --> 2105.85:  alangan ya
2105.85 --> 2106.85:  iya alangan ya
2109.19 --> 2110.19:  anjing bisa tembak lah
2110.19 --> 2111.19:  berak-berak
2111.19 --> 2112.19:  oh lho
2112.19 --> 2113.19:  hahahaha
2113.19 --> 2114.19:  anjing kena ngulit di paingan
2114.19 --> 2115.19:  anjing
2115.19 --> 2116.19:  anjing
2116.19 --> 2117.19:  anjing
2117.19 --> 2118.19:  itu beneran
2118.19 --> 2119.19:  itu sare anjing
2120.19 --> 2121.19:  oh sare
2121.19 --> 2122.19:  bete sih
2122.19 --> 2123.19:  oh itu butuh
2123.19 --> 2124.19:  anjing bisa tersidura tuh
2126.19 --> 2127.19:  si anjing tersiduran
2128.19 --> 2129.19:  hahahaha
2132.19 --> 2133.19:  na telor beda tuh di jual lagi
2134.19 --> 2135.19:  oh pohonnya anjing
2135.19 --> 2136.19:  arun bukan dong
2136.19 --> 2140.78:  enggak guna disabarai tuh
2142.78 --> 2143.78:  itu yang suka yang urus diletik gitu
2144.78 --> 2145.78:  asli anjing
2145.78 --> 2146.78:  enggak guna ya
2151.58 --> 2152.58:  produksi enggak guna
2152.58 --> 2153.58:  enggak bisa memet
2153.58 --> 2162.58:  anjing
2174.50 --> 2175.50:  iya dagingnya tadi jualan
2175.50 --> 2176.50:  anjing
2176.50 --> 2177.50:  enggak guna
2177.50 --> 2178.50:  asli
2178.50 --> 2179.50:  bertanik arun
2181.50 --> 2182.50:  ternak dan bertanik
2182.50 --> 2185.51:  kemana anjing
2185.51 --> 2190.52:  oh itu bisa tumbuh
2190.52 --> 2191.52:  anjing
2191.52 --> 2196.49:  ini bodoh
2197.49 --> 2198.49:  tomat
2198.49 --> 2204.14:  oh iya
2204.14 --> 2215.44:  daging daging daging
2215.44 --> 2216.44:  kuing foto ya
2217.44 --> 2218.44:  na telor
2218.44 --> 2219.44:  na telor mau beli
2268.35 --> 2269.35:  anjing
2269.35 --> 2270.35:  bisa tumbuh lagi
2270.35 --> 2271.35:  ini tomatnya
2272.35 --> 2273.35:  oh
2273.35 --> 2275.35:  anjing itu udah pakai
2275.35 --> 2276.35:  iya berarti
2276.35 --> 2277.35:  udah pakai pupuk
2277.35 --> 2278.35:  enggak ada lila paling
2302.20 --> 2303.20:  jadi orang jual anjing
2303.20 --> 2304.20:  enggak guna anjing
2304.20 --> 2307.12:  bisa bisa
2307.12 --> 2308.12:  weh weh beag
2311.20 --> 2312.20:  kuduh nge-jian sumur
2313.20 --> 2314.20:  ini
2314.20 --> 2315.20:  kuduh beli konkret
2317.48 --> 2318.48:  betun seberang konkret ya, 20
2338.36 --> 2339.36:  anjing sama kalau dari lain
2339.36 --> 2351.46:  ee tunduh
2351.46 --> 2352.46:  kan mau ke luar
2352.46 --> 2353.46:  ini
2353.46 --> 2357.12:  oiya
2357.12 --> 2358.12:  weh weh
2358.12 --> 2359.12:  yang udah abis ngisi capek
2359.12 --> 2360.12:  capek
2360.12 --> 2361.12:  asli boys
2361.12 --> 2362.12:  ini tuh
2362.12 --> 2363.12:  one zoom in
2363.12 --> 2364.12:  tempo nggak anjing
2364.12 --> 2365.12:  si rd mana
2366.12 --> 2376.70:  si rd udah re Ngomongin zombie zombie
2376.70 --> 2377.70:  gratis
2377.70 --> 2381.26:  open war
2381.26 --> 2385.42:  ini oh iya yang lawan jalan mana og
2385.42 --> 2389.82:  meren build your own home hoho
2389.82 --> 2395.14:  ini bisa mancing bisa mendapang pohon
2395.14 --> 2398.90:  ini ngerami emang iya
2398.90 --> 2400.18:  ini ngerami sumpah sih ya
2400.18 --> 2406.70:  lawan zombie download ah
2406.70 --> 2408.86:  seberapa giga?
2408.86 --> 2411.61:  50 giga
2411.61 --> 2412.81:  3 akan sehari
2412.81 --> 2416.01:  50 giga?
2416.01 --> 2457.13:  un-fill the ultimate
2458.01 --> 2461.56:  game baru nya itu game apa nya?
2461.56 --> 2463.48:  baru ke luar
2468.78 --> 2470.06:  udah sebulan
